V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.8576791137777553,3.0,3.7980674611288756,3.0,3.967462767187991,3.0,5.0,3.5593232719328975,3.0,4.0,3.4392439241659036,5.0,5.0,3.0,3.1812633868562767
4.0,3.54012042233568,5.0,5.0,2.0,3.5090793938177347,1.0,3.684011481846717,4.0,3.8568280118968636,3.483139295714948,5.0,3.458346683803895,5.0,3.0
3.0,3.0,3.086561565407061,3.129749112803267,3.0,3.0,2.9061910024742366,2.7922633603376177,1.0,3.0,2.7345701067396915,4.0,3.0,2.6956436614909127,3.0
3.887654429411614,4.0,3.7548934077444094,3.86760008275306,3.796577959152815,3.438878873979095,3.5433369038765354,5.0,3.680568079763967,3.0,3.0,4.443460722992002,3.3793852010259187,2.0,3.1538993089056055
4.014797784606256,3.4229507930811547,3.866464298901554,3.9656537631399713,5.0,3.674903764468926,5.0,3.814680807389259,3.8339945854825084,3.0,4.0,4.770603202194971,3.5002805960630003,2.0,3.1772179348139593
3.0,3.0,5.0,4.0,3.8147584573233413,3.366786097499411,3.0,3.0,5.0,3.8227865057824157,3.0,5.0,3.0,3.0,2.9649581787691988
3.709166253254465,3.4042431700989844,4.0,5.0,3.0,4.0,3.587937816406932,3.0,4.0,3.0,3.477708110712821,4.577061872445772,3.0,3.393536871734694,3.0
4.079188407562464,3.674265813069537,4.0,4.431450780688452,5.0,3.9165159398560867,3.0,4.0,4.030853279866235,4.293977068862307,5.0,5.0,3.0,3.706253367241679,3.412872579347293
3.0,4.0,3.89605048873855,4.0,3.965197586888087,3.553646470663156,3.7731350005972066,3.700093376930883,5.0,3.8941684702886104,3.5029624576989993,4.0,4.0,3.0,3.0
3.0,3.158118047047943,3.591767412343158,4.0,3.0,3.1555853483564094,3.336013108943858,3.2654785939763746,3.4507027126214007,3.603243825247852,3.2452975792236733,4.297543863013188,3.1851424174023166,4.0,2.9291651027515795
3.239675157879068,2.912868613959486,3.270364773114775,3.0,3.3074408579100667,2.94538097361683,3.1465304086921675,3.0522141567008148,3.0735234242016647,3.0,2.8492617213490874,4.007376903572927,3.0,3.0,3.0
3.01161400649747,2.527563881730808,2.95301387837083,3.0,2.0,2.0,4.0,2.6221606154707082,2.0,5.0,2.0,3.7375035389894693,3.0,2.612712878369686,2.279119776611133
2.9527838900185377,1.0,3.1639796758656473,3.2759953228501253,3.190089986320061,2.59283144191771,5.0,1.0,2.933635362431757,5.0,5.0,5.0,1.0,2.5141932206998128,1.0
3.7272385145403795,3.4319213907997024,3.0,3.857062733320512,4.0,3.0,3.6393018777906754,3.5006912675785697,3.0,3.7159860609167334,3.0,4.466528193005303,4.0,4.0,4.0
5.0,3.0,4.0,4.0,3.5076434855159606,3.1264411000992056,4.0,3.271069670490949,3.0,5.0,3.2030398725162814,3.0,1.0,2.0,3.0
3.914066071333856,5.0,3.9099714405480834,4.110641382802094,3.0,3.609758478401972,3.85677204633446,3.0,3.68373714685999,5.0,3.6080088177025624,4.0,3.4661914464902273,3.6135489911150573,3.0
3.0,3.0,3.4046591399532073,3.5140452604411725,3.3688625948570308,3.0,3.0,3.0,3.0,3.4038391125022875,3.0135737953915225,4.0,3.0,4.0,2.7207708965983177
4.0,2.9124115045845502,3.0,3.0,3.3054207617878486,3.0,3.234602508012845,4.0,3.15448881657326,3.0,3.0,3.0,2.934826642949994,2.859260179888216,2.658720370670083
4.0,3.14311910446113,2.0,4.0,3.4619877595028434,3.0,4.0,3.0,3.0,3.0,3.0730117838453688,4.153122357040677,3.131261365692814,3.0,4.0
5.0,3.6391808168838513,4.0,4.133632083112224,4.0,4.0,4.0,4.0,3.8909091475774806,4.0,3.0,4.822551079454922,3.5828785977844984,3.0,3.0
3.547549735129512,3.0,3.0,4.0,3.6438244806534423,3.0,3.5149444679704627,3.0,5.0,3.644674923138592,3.0,5.0,3.0,3.0,3.0
3.3491618099997513,3.0,3.5180230310750202,5.0,3.439850487786687,3.0,2.0,3.2578791494580495,3.371413610016139,3.478283916060451,3.0,4.310275089974532,3.0,3.0,2.7616542227757073
3.0,2.907980707188902,3.0,3.465552750004371,3.0,3.0,3.0,3.0874287934420463,4.0,3.0,3.0,4.048835263639384,3.0,2.9231547605139747,3.0
3.0,3.0,4.0,3.0,3.7286127516865477,3.233752616824908,5.0,4.0,4.0,3.6999949683476205,3.2878989318097305,4.396691166425771,3.1305640318984214,3.0,2.0
3.0,3.0,3.2311273491184305,2.0,4.0,3.0,3.0,2.8866340171137486,2.9479683926658327,3.2380666375861447,4.0,5.0,2.0,1.0,3.0
4.0,4.0,3.0,5.0,3.886961880595006,3.4766421122446514,3.868227362247624,3.0,4.0,5.0,3.6070124439283555,4.0,3.0,3.491402603403885,3.226405851089441
4.422611717586367,3.0,4.0,4.683659462335894,4.545172058551171,4.0,4.0,5.0,5.0,4.519292383984992,5.0,5.0,4.0,4.077214274386398,4.0
