V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.170553396841264,3.0,3.6468569606596435,3.0,4.219661428647513,3.0,5.0,3.5084329392519025,3.0,4.0,3.773509519209407,5.0,5.0,3.0,3.348368696392602
4.0,3.5513611667315703,5.0,5.0,2.0,3.6680192780804783,1.0,3.6315157845313046,4.0,3.5961952794890557,3.7587742165143383,5.0,3.7225345251378723,5.0,3.0
3.0,3.0,2.9100471079724914,2.6508566511135916,3.0,3.0,3.0894289719877324,2.200529489370121,1.0,3.0,3.0601993858933705,4.0,3.0,2.4688538527700747,3.0
3.346446181415716,4.0,3.4976489930504457,3.6200642741472024,4.263830392463093,3.4449740464831113,3.8023460550746124,5.0,3.9500660913391634,3.0,3.0,3.8270862344721572,2.7935625762758183,2.0,2.563426997820077
4.455499680219147,3.517496198178248,3.902613130710052,3.71845283795435,5.0,3.725313087710598,5.0,4.243275891388807,3.7506726801877326,3.0,4.0,4.738446792037935,3.4840588793133387,2.0,3.21393742109225
3.0,3.0,5.0,4.0,3.893501903058288,3.455141667354489,3.0,3.0,5.0,3.988218442918587,3.0,5.0,3.0,3.0,2.8576841489909377
3.3077716335364036,3.31947133233268,4.0,5.0,3.0,4.0,2.851053398050682,3.0,4.0,3.0,3.2489916812543145,4.44103084356726,3.0,3.5085853802774416,3.0
4.356744128392127,3.62030363268505,4.0,4.204104014860101,5.0,3.9459463127170737,3.0,4.0,3.743702719385157,4.8245195517831325,5.0,5.0,3.0,3.2442997668030427,3.5804205232973305
3.0,4.0,3.9284799274217916,4.0,3.8607478074371593,3.4790459029836907,3.7370801399304363,3.7975843314717572,5.0,3.983906275816545,3.543588991724924,4.0,4.0,3.0,3.0
3.0,3.1755050505050506,3.806158273048032,4.0,3.0,3.171410358375697,3.024531830796994,3.012121212121212,3.6192869780685943,4.222512113120477,3.3380681818181817,4.391395641772984,3.14616030234168,4.0,2.781232405387352
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2.957347188032128,3.0331325498675086,2.7540698530925223,3.0,2.0,2.0,4.0,2.4934376016240276,2.0,5.0,2.0,3.4942789149178157,3.0,2.573157447364306,2.365247384461399
2.7606829989743193,1.0,3.1351933045848233,3.2095376329228262,3.339754131047165,2.8590562566673183,5.0,1.0,3.1047978483293757,5.0,5.0,5.0,1.0,2.50550165353013,1.0
3.539680664611826,3.3272474461169534,3.0,3.4776458491257536,4.0,3.0,3.5173713526066352,3.1909758265517922,3.0,3.7128884824975796,3.0,4.60498547605053,4.0,4.0,4.0
5.0,3.0,4.0,4.0,3.364228197514355,3.306087227335386,4.0,3.223517133778763,3.0,5.0,3.2843261054056487,3.0,1.0,2.0,3.0
4.091844581311955,5.0,4.08465063585878,4.247157986093779,3.0,3.6566433944443206,3.2652095280190725,3.0,3.5611190479254224,5.0,3.6591782471924605,4.0,3.6545939767687066,3.7967907190364074,3.0
3.0,3.0,3.6201863570282593,3.361099022768879,3.125802823005179,3.0,3.0,3.0,3.0,3.2273011297598364,3.2349108029550733,4.0,3.0,4.0,2.661346257574888
