V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.9047606377181667,3.0,3.749324631267368,3.0,3.9855643067315643,3.0,5.0,3.61953576985929,3.0,4.0,3.6011038917675244,5.0,5.0,3.0,3.276141426168443
4.0,3.7446285390084104,5.0,5.0,2.0,3.4179825007620663,1.0,3.4076702228038895,4.0,3.8139780660483025,3.411948971684764,5.0,3.7396459274303817,5.0,3.0
3.0,3.0,3.006393783269446,3.167566557246178,3.0,3.0,2.8641310679130805,2.7917241053039636,1.0,3.0,2.8938573533936314,4.0,3.0,2.633098727883161,3.0
3.6731171843363204,4.0,3.711365364214985,3.8254053545382716,3.727060401167528,3.3186264700866746,3.565287361657082,5.0,3.5501747820831944,3.0,3.0,4.465753775176554,3.278497227046955,2.0,3.0104172937678606
3.938382650287509,3.5217244055425345,3.9765858716713898,4.077277148487275,5.0,3.5941249381237674,5.0,3.739367845711613,3.818027734704464,3.0,4.0,4.7532712309061065,3.5468569256839104,2.0,3.2699575249517343
3.0,3.0,5.0,4.0,3.84768937952614,3.3206102667612947,3.0,3.0,5.0,3.7123022788464675,3.0,5.0,3.0,3.0,3.0051965780952745
3.6536939723222193,3.4111929978069595,4.0,5.0,3.0,4.0,3.4803391349976645,3.0,4.0,3.0,3.330800942298437,4.480196219202417,3.0,3.430066580617801,3.0
4.134625116316233,3.747757362813849,4.0,4.3288069118153985,5.0,3.814855226650858,3.0,4.0,4.035778179140135,4.222348864801332,5.0,4.97189300056912,3.0,3.765067553230142,3.4864609890908205
3.0,4.0,3.9216321093552144,4.0,3.934793210179043,3.5206283913354754,3.780863973225413,3.6607924730465657,5.0,3.928262473596303,3.527881034950104,4.0,4.0,3.0,3.0
3.0,3.1423591254963217,3.5934626501965177,4.0,3.0,3.188858941280593,3.4338560111799112,3.318262734354484,3.42485987232917,3.6025669955142714,3.2019321041709574,4.352879649658341,3.151855667716826,4.0,2.877062173315627
3.2351727734141105,2.845345468183599,3.2928236490409866,3.0,3.3048721186623045,2.8967365030300436,3.154283283626004,3.0313175859003154,3.117700024736014,3.0,2.8966961864749843,4.055742783584694,3.0,3.0,3.0
2.9943203930855713,2.6003522583137686,3.042385525529917,3.0,2.0,2.0,4.0,2.7605185897202134,2.0,5.0,2.0,3.803129425080871,3.0,2.6203893921244017,2.3306002600634965
3.118889504308185,1.0,3.197321001051519,3.299951778248877,3.224165193569849,2.790735058183413,5.0,1.0,3.0293172252458946,5.0,5.0,5.0,1.0,2.7527781830160585,1.0
3.756778815190407,3.3699331806087107,3.0,3.922260684453381,4.0,3.0,3.6727393019959846,3.5466609811450502,3.0,3.8136254415895063,3.0,4.575617229085403,4.0,4.0,4.0
5.0,3.0,4.0,4.0,3.5949722664818986,3.1965631710520674,4.0,3.117455414484511,3.0,5.0,2.9769721552631463,3.0,1.0,2.0,3.0
3.8786866178675306,5.0,3.9384689492193243,4.056096198682314,3.0,3.5421625469499154,3.7977305640544836,3.0,3.7616588833514863,5.0,3.544084322507116,4.0,3.481470385227092,3.5145451327235944,3.0
3.0,3.0,3.4321038203470593,3.5410643162824624,3.2807441987569734,3.0,3.0,3.0,3.0,3.4031305619559147,3.0344843372399652,4.0,3.0,4.0,2.712342077262842
4.0,2.8283072332810404,3.0,3.0,3.287334626377926,3.0,3.1447231756783838,4.0,3.1092963541249072,3.0,3.0,3.0,2.8394436708649375,2.8388473997119448,2.5671534719411957
4.0,3.0236810056442343,2.0,4.0,3.473960145850131,3.0,4.0,3.0,3.0,3.0,3.0846976676924673,4.228089963019716,3.0541641146917557,3.0,4.0
5.0,3.5882852490773174,4.0,4.140707714163528,4.0,4.0,4.0,4.0,4.023668954597726,4.0,3.0,4.7916085514607545,3.589015352466935,3.0,3.0
3.4871916331944317,3.0,3.0,4.0,3.7065172930620722,3.0,3.565264559030657,3.0,5.0,3.5719229961288934,3.0,5.0,3.0,3.0,3.0
3.3862410821498825,3.0,3.4610920891263066,5.0,3.450991847911693,3.0,2.0,3.1955052442316236,3.289645750474587,3.458281634953112,3.0,4.216495761080127,3.0,3.0,2.745181301921118
